Symbol,Name,Price,"Dopeler
ROE
(Ave.)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
CBAK,"China BAK Battery, Inc.",2.15,-3.5%,N/A,N/A,N/A,-33.54,-0.930,-24.24,Energy,Industrial Machinery/Components,2.3%,-13.6%,6.3%,-9.0%
CBPO,"China Biologic Products, Inc.",14.79,145.2%,0.40,3.9,25.9%,37.12,3.638,0.74,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),72.6%,112.3%,263.2%,132.5%
CCCL,"China Ceramics Co., Ltd.",1.97,105.6%,0.03,0.7,138.1%,74.62,7.832,-3.70,Capital Goods,Building Materials,33.2%,160.6%,120.9%,107.7%
JRJC,China Finance Online Co. Limited,1.10,105.4%,0.09,-1.7,-59.9%,12.07,0.940,2.67,Miscellaneous,Business Services,-72.7%,21.6%,124.8%,347.9%
CHOP,China Gerui Advanced Materials Group Limited,1.27,116.6%,0.04,0.1,1532.1%,30.87,2.980,1.08,Capital Goods,Steel/Iron Ore,66.5%,135.7%,147.7%,N/A
HGSH,"China HGS Real Estate, Inc.",4.02,N/A,N/A,N/A,N/A,N/A,N/A,-0.64,Finance,Real Estate,N/A,N/A,N/A,N/A
CHLN,"China Housing & Land Development, Inc.",1.28,N/A,N/A,N/A,N/A,N/A,N/A,-6.04,Basic Industries,Homebuilding,N/A,N/A,N/A,N/A
CNIT,"China Information Technology, Inc.",0.94,29.8%,0.09,3.1,32.5%,9.93,1.300,-3.06,Technology,Computer Software: Prepackaged Software,7.6%,44.5%,41.3%,25.7%
CJJD,"China Jo-Jo Drugstores, Inc.",1.08,102.5%,0.08,1.5,68.5%,14.28,1.545,-1.18,Health Care,Medical/Nursing Services,268.1%,-63.1%,N/A,N/A
HTHT,"China Lodging Group, Limited",16.97,12.1%,0.88,8.9,11.2%,19.39,2.271,-3.32,Consumer Services,Hotels/Resorts,16.5%,30.7%,18.7%,-17.8%
CHNR,"China Natural Resources, Inc.",5.23,24.8%,0.23,4.7,21.4%,22.96,3.326,-10.30,Basic Industries,Precious Metals,-12.6%,7.5%,-49.2%,153.4%
NKBP,China Nuokang Bio-Pharmaceutical Inc.,5.65,10.0%,0.44,1.9,52.3%,12.73,0.875,3.98,Consumer Durables,Major Pharmaceuticals,40.0%,-15.6%,5.5%,N/A
CPSL,"China Precision Steel, Inc.",1.74,-9.7%,N/A,N/A,N/A,-42.35,-2.558,-16.77,Basic Industries,Steel/Iron Ore,-8.2%,-32.8%,-12.5%,14.5%
CREG,China Recycling Energy Corporation,1.03,N/A,N/A,N/A,N/A,N/A,N/A,-1.93,Miscellaneous,Business Services,N/A,N/A,N/A,N/A
CPGI,"China Shengda Packaging Group, Inc.",1.13,44.2%,0.19,2.3,42.9%,5.82,0.612,-0.30,Consumer Durables,Containers/Packaging,-28.1%,79.5%,81.1%,N/A
CSUN,"China Sunergy Co., Ltd.",1.25,20.0%,0.24,9.0,11.1%,5.17,3.913,-33.96,Technology,Semiconductors,-95.6%,21.2%,14.3%,139.9%
CNTF,China TechFaith Wireless Communication Technology Limited,1.48,50.5%,0.07,-3.2,-31.2%,21.60,1.524,6.36,Miscellaneous,Business Services,88.2%,80.5%,40.7%,-7.5%
CXDC,China XD Plastics Company Limited,4.10,51.9%,0.34,3.8,26.1%,12.06,1.290,-0.84,Capital Goods,Containers/Packaging,144.9%,103.0%,54.4%,-94.7%
CNYD,"China Yida Holding, Co.",3.45,112.5%,0.01,0.3,366.5%,408.69,41.660,-7.92,Consumer Services,Advertising,8.7%,44.3%,94.8%,302.2%
CCIH,ChinaCache International Holdings Ltd.,3.94,10.7%,0.57,3.5,28.9%,6.92,0.455,2.36,Technology,EDP Services,8.4%,17.1%,6.7%,N/A
CEDU,ChinaEdu Corporation,5.84,31.5%,0.52,4.8,20.7%,11.34,1.063,0.71,Consumer Services,Other Consumer Services,35.5%,20.8%,41.3%,28.3%
CNET,"ChinaNet Online Holdings, Inc.",1.00,5204.3%,0.01,0.1,804.0%,76.94,7.689,0.04,Technology,Advertising,5.8%,701.6%,20349.3%,-239.6%
CHDX,"Chindex International, Inc.",10.31,17.1%,1.23,12.4,8.1%,8.36,0.817,0.19,Health Care,Medical Specialities,19.7%,20.8%,-8.1%,35.8%
IMOS,ChipMOS TECHNOLOGIES (Bermuda) LTD.,10.63,-1.2%,N/A,N/A,N/A,-11.72,-0.619,-5.53,Technology,Semiconductors,1.3%,4.3%,-9.5%,-0.8%
CHDN,"Churchill Downs, Incorporated",63.90,8.6%,3.18,21.9,4.6%,20.11,3.685,-16.73,Consumer Services,Services-Misc. Amusement & Recreation,18.2%,0.5%,6.1%,9.6%
CHUY,"Chuy&#39;s Holdings, Inc.",23.27,46.3%,1.58,15.1,6.6%,14.75,1.679,-2.04,Consumer Services,Restaurants,40.4%,52.2%,N/A,N/A
CHYR,Chyron Corporation,0.70,-111.6%,N/A,N/A,N/A,-4.33,-0.389,-0.44,Miscellaneous,Industrial Machinery/Components,30.3%,6.4%,-5.0%,-478.3%
CIEN,CIENA Corporation,15.07,-21.5%,N/A,N/A,N/A,-23.40,-0.960,-13.80,Public Utilities,Telecommunications Equipment,-30.2%,-77.0%,-8.1%,29.2%
CIMT,"Cimatron, Limited",4.45,27.5%,1.93,17.4,5.7%,2.30,0.290,-0.60,Technology,EDP Services,50.3%,45.8%,-6.6%,20.2%
CIDM,Cinedigm Digital Cinema Corp,1.45,-1.5%,N/A,N/A,N/A,-6.88,-0.113,-5.75,Miscellaneous,Business Services,0.9%,-0.7%,-6.9%,0.7%
CTAS,Cintas Corporation,41.44,24.1%,1.47,13.2,7.6%,28.26,4.173,-13.47,Consumer Non-Durables,Apparel,21.5%,16.2%,30.1%,28.6%
CRUS,"Cirrus Logic, Inc.",30.73,15.3%,6.90,101.3,1.0%,4.46,0.288,1.58,Technology,Semiconductors,78.3%,-57.6%,10.8%,29.8%
CSCO,"Cisco Systems, Inc.",19.03,92.1%,0.85,8.4,11.9%,22.35,2.079,1.56,Technology,Computer Communications Equipment,102.8%,90.9%,86.8%,87.9%
CTRN,"Citi Trends, Inc.",14.04,22.1%,0.55,6.2,16.1%,25.57,3.055,-4.98,Consumer Services,Clothing/Shoe/Accessory Stores,-2.1%,15.0%,35.1%,40.4%
CTXS,"Citrix Systems, Inc.",60.25,117.5%,1.58,15.3,6.5%,38.25,4.162,-3.37,Technology,Computer Software: Prepackaged Software,120.3%,121.8%,89.9%,137.9%
CWEI,"Clayton Williams Energy, Inc.",38.31,6.4%,0.85,9.4,10.6%,45.03,11.616,-71.13,Energy,Oil & Gas Production,8.4%,3.8%,-7.5%,20.7%
CDTI,"Clean Diesel Technologies, Inc.",2.32,-653.8%,N/A,N/A,N/A,-155.11,-15.265,-2.46,Capital Goods,Pollution Control Equipment,-95.9%,-651.3%,-723.4%,-1144.7%
CLNE,Clean Energy Fuels Corp.,13.13,-10.3%,N/A,N/A,N/A,-5.65,-0.425,-1.39,Public Utilities,Natural Gas Distribution,-14.3%,-12.5%,-3.0%,-11.6%
CLNT,"Cleantech Solutions International, Inc.",4.86,36.7%,0.05,0.8,129.2%,104.64,10.815,-3.51,Technology,Industrial Machinery/Components,10.1%,34.9%,31.3%,70.3%
CLRO,ClearOne Communications Inc.,3.96,14.9%,1.35,14.6,6.8%,2.94,0.221,0.74,Technology,Radio And Television Broadcasting And Communications Equipment,60.7%,18.6%,-17.0%,-2.7%
CLWR,Clearwire Corporation,2.40,-45.3%,N/A,N/A,N/A,-15.87,-1.297,-2.90,Consumer Services,Telecommunications Equipment,-26.2%,-51.4%,-44.2%,-59.5%
CBLI,"Cleveland BioLabs, Inc.",1.31,-534.8%,N/A,N/A,N/A,-2.77,-0.320,0.43,Health Care,Biotechnology: Commercial Physical & Biological Resarch,-737.1%,-327.2%,-256.4%,-818.7%
CKSW,ClickSoftware Technologies Ltd.,7.27,241.2%,0.96,9.5,10.5%,7.60,0.689,0.71,Technology,Computer Software: Prepackaged Software,188.2%,284.4%,148.0%,344.4%
CLVS,"Clovis Oncology, Inc.",15.28,-8221.8%,N/A,N/A,N/A,-60.66,-6.826,7.60,Consumer Durables,Major Pharmaceuticals,-3837.0%,-12606.7%,N/A,N/A
CME,CME Group Inc.,55.57,148.5%,1.56,13.2,7.6%,35.71,6.230,-26.59,Finance,Investment Bankers/Brokers/Service,103.0%,155.5%,132.8%,202.9%
CISG,CNinsure Inc.,7.97,745.2%,0.13,-0.1,-1168.4%,60.51,5.209,8.42,Finance,Specialty Insurers,372.9%,317.2%,410.5%,1880.0%
COA,Coastal Contacts Inc                    ,5.65,93.9%,N/A,N/A,N/A,N/A,N/A,-1.07,Health Care,Ophthalmic Goods,69.1%,0.5%,87.8%,218.0%
COBR,Cobra Electronics Corporation,3.56,13.2%,N/A,19.4,5.2%,-1.31,0.520,-6.51,Technology,Radio And Television Broadcasting And Communications Equipment,-7.0%,-6.7%,19.1%,47.3%
COKE,Coca-Cola Bottling Co. Consolidated,67.80,1.5%,N/A,113.6,0.9%,-100.37,1.622,-116.59,Consumer Non-Durables,Beverages (Production/Distribution),3.0%,2.3%,-0.3%,0.8%
CDXS,"Codexis, Inc.",2.22,-33.9%,N/A,N/A,N/A,-4.51,-0.505,0.54,Basic Industries,Major Chemicals,-10.5%,-51.2%,-40.0%,N/A
JVA,"Coffee Holding Co., Inc.",6.93,-11.4%,N/A,N/A,N/A,-2.66,-0.069,-1.97,Consumer Non-Durables,Beverages (Production/Distribution),-67.0%,34.6%,22.8%,-36.1%
CCOI,"Cogent Communications Group, Inc.",20.94,-0.3%,N/A,N/A,N/A,-4.68,-0.054,-4.14,Technology,Computer Software: Prepackaged Software,-0.3%,0.1%,-1.0%,-0.1%
CGNX,Cognex Corporation,35.55,82.1%,1.97,21.6,4.6%,18.01,1.513,2.88,Capital Goods,Industrial Machinery/Components,128.8%,119.1%,-0.3%,81.0%
CTSH,Cognizant Technology Solutions Corporation,66.98,106.9%,1.45,14.8,6.7%,46.12,4.320,2.92,Technology,EDP Services,115.8%,110.3%,108.3%,93.0%
COGO,"Cogo Group, Inc.",2.44,-21.8%,N/A,N/A,N/A,-0.70,-0.053,-0.17,Capital Goods,Electrical Products,-343.0%,-38.3%,-76.0%,370.4%
COHR,"Coherent, Inc.",46.58,21.3%,N/A,N/A,N/A,N/A,N/A,N/A,Capital Goods,Biotechnology: Laboratory Analytical Instruments,29.7%,30.2%,11.6%,13.5%
COHU,"Cohu, Inc.",9.42,10.6%,1.91,22.8,4.4%,4.93,0.352,1.41,Capital Goods,Electrical Products,6.9%,22.0%,13.3%,0.3%
CSTR,"Coinstar, Inc.",46.98,33.0%,0.50,5.9,17.0%,93.80,11.352,-19.72,Consumer Services,Other Consumer Services,45.0%,37.3%,9.7%,39.9%
CWTR,"Coldwater Creek, Inc.",5.46,-6.4%,N/A,N/A,N/A,-20.11,-1.207,-8.04,Consumer Services,Clothing/Shoe/Accessory Stores,-17.1%,-10.2%,-3.9%,5.4%
CCIX,"Coleman Cable, Inc.",8.91,25.6%,N/A,15.2,6.6%,-1.27,1.941,-20.68,Basic Industries,Telecommunications Equipment,19.8%,-2.1%,11.2%,73.4%
CLRX,"CollabRx, Inc.",3.94,N/A,N/A,N/A,N/A,N/A,N/A,3.76,Technology,Industrial Machinery/Components,N/A,-11.1%,-65.5%,-74.9%
CLCT,"Collectors Universe, Inc.",10.22,94.2%,1.00,10.0,10.0%,10.20,0.906,1.14,Miscellaneous,Business Services,178.8%,199.7%,4.3%,-6.0%
CBRX,"Columbia Laboratories, Inc.",0.60,-194.7%,N/A,N/A,N/A,-0.88,-0.097,0.08,Consumer Durables,Major Pharmaceuticals,-44.2%,-281.1%,-263.6%,-189.7%
COLM,Columbia Sportswear Company,57.89,23.7%,1.66,16.2,6.2%,34.91,3.680,-1.89,Consumer Non-Durables,Apparel,10.7%,1.2%,46.4%,36.5%
CMCO,Columbus McKinnon Corporation,14.90,18.9%,6.14,17.8,5.6%,2.43,1.604,-13.62,Capital Goods,Construction/Ag Equipment/Trucks,9.2%,18.4%,5.9%,42.1%
CBMX,CombiMatrix Corporation,0.27,-153.5%,N/A,N/A,N/A,-2.42,-0.289,0.48,Capital Goods,Biotechnology: Laboratory Analytical Instruments,-392.3%,162.8%,-208.5%,-176.1%
CMCSA,Comcast Corporation,37.08,17.3%,5.39,17.2,5.8%,6.87,4.170,-34.82,Consumer Services,Television Services,21.1%,16.4%,14.7%,17.1%
CMCSK,Comcast Corporation,35.95,17.3%,5.23,17.0,5.9%,6.87,4.170,-34.82,Consumer Services,Television Services,21.1%,16.4%,14.7%,17.1%
CVGI,"Commercial Vehicle Group, Inc.",8.40,-6.0%,N/A,N/A,N/A,-14.37,-0.383,-10.54,Capital Goods,Auto Parts:O.E.M.,-3.0%,0.3%,-9.0%,-12.2%
CTCH,Commtouch Software Ltd.,3.08,59.9%,1.51,16.4,6.1%,2.04,0.162,0.42,Consumer Services,Telecommunications Equipment,78.5%,52.9%,47.0%,61.2%
JCS,"Communications Systems, Inc.",10.33,39.4%,0.49,4.2,23.9%,21.04,1.845,2.60,Public Utilities,Telecommunications Equipment,49.1%,32.9%,50.7%,25.0%
CVLT,"CommVault Systems, Inc.",67.47,317.8%,2.81,29.9,3.3%,24.00,2.185,2.14,Technology,Computer Software: Prepackaged Software,436.2%,272.3%,318.9%,243.8%
GNOM,"Complete Genomics, Inc.",3.16,-189.7%,N/A,N/A,N/A,-30.63,-3.166,1.03,Health Care,Biotechnology: Commercial Physical & Biological Resarch,-149.7%,-169.4%,-250.1%,N/A
GSJK,"Compressco Partners, L.P.",16.80,5.0%,3.39,33.8,3.0%,4.96,0.497,-0.01,Energy,Oilfield Services/Equipment,4.4%,5.7%,N/A,N/A
CGEN,Compugen Ltd.,4.65,-97.5%,N/A,N/A,N/A,-1.98,-0.234,0.36,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-118.2%,-59.7%,-91.5%,-120.8%
CPSI,"Computer Programs and Systems, Inc.",50.45,196.0%,0.92,9.2,10.9%,54.85,5.441,0.44,Technology,EDP Services,243.7%,208.2%,136.7%,195.5%
CTGX,"Computer Task Group, Incorporated",18.32,41.1%,5.01,36.2,2.8%,3.66,0.560,-1.94,Technology,EDP Services,51.1%,42.5%,16.8%,53.8%
CPWR,Compuware Corporation,9.39,37.5%,2.05,15.1,6.6%,4.58,0.936,-4.78,Technology,Computer Software: Prepackaged Software,31.3%,28.5%,45.0%,45.1%
SCOR,"comScore, Inc.",13.27,71.7%,1.51,14.0,7.2%,8.78,1.134,-2.57,Miscellaneous,Business Services,37.2%,69.6%,107.4%,72.5%
CHCI,"Comstock Holding Companies, Inc.",1.29,N/A,N/A,N/A,N/A,N/A,N/A,-1.18,Capital Goods,Homebuilding,N/A,N/A,N/A,N/A
CMTL,Comtech Telecommunications Corp.,25.34,113.8%,0.32,2.8,35.2%,77.99,7.353,4.46,Technology,Radio And Television Broadcasting And Communications Equipment,50.9%,119.2%,154.3%,130.6%
CPTS,"Conceptus, Inc.",20.73,-11.4%,N/A,N/A,N/A,-1.17,-0.091,-0.25,Health Care,Medical/Dental Instruments,80.0%,-333.7%,175.5%,32.6%
CNQR,"Concur Technologies, Inc.",64.62,103.7%,2.83,28.6,3.5%,22.85,2.243,0.42,Technology,Computer Software: Prepackaged Software,90.7%,92.1%,116.0%,115.9%
CCUR,Concurrent Computer Corporation,5.38,17.5%,1.10,11.2,8.9%,4.90,0.400,0.90,Technology,Computer Manufacturing,-14.9%,14.9%,42.3%,27.7%
CNMD,CONMED Corporation,27.40,17.7%,5.88,23.8,4.2%,4.66,1.647,-11.81,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,27.4%,10.9%,2.8%,29.7%
CTWS,"Connecticut Water Service, Inc.",30.96,-5.4%,N/A,N/A,N/A,-69.20,-3.014,-39.06,Public Utilities,Water Supply,-4.4%,-6.3%,-5.0%,-5.9%
CONN,"Conn&#39;s, Inc.",27.65,3.5%,N/A,299.6,0.3%,-11.64,0.136,-13.00,Consumer Services,Consumer Electronics/Video Chains,39.5%,37.6%,-30.2%,-33.1%
CNSL,"Consolidated Communications Holdings, Inc.",15.18,2.2%,N/A,71.3,1.4%,-20.28,0.579,-26.07,Public Utilities,Telecommunications Equipment,4.1%,2.5%,3.2%,-1.0%
CWCO,Consolidated Water Co. Ltd.,7.53,0.3%,4.13,241.9,0.4%,1.83,0.025,1.58,Public Utilities,Water Supply,-1.0%,-3.4%,6.7%,-1.0%
CTCT,"Constant Contact, Inc.",13.18,60.4%,0.75,7.0,14.2%,17.50,1.456,2.94,Technology,Advertising,37.2%,46.6%,69.9%,88.0%
CPSS,"Consumer Portfolio Services, Inc.",5.03,N/A,N/A,N/A,N/A,N/A,N/A,-37.51,Finance,Finance: Consumer Services,N/A,N/A,N/A,N/A
CPNO,"Copano Energy, L.L.C.",31.29,3.0%,N/A,94.0,1.1%,-12.76,0.524,-18.00,Public Utilities,Natural Gas Distribution,3.4%,2.2%,4.8%,1.5%
CPRT,"Copart, Inc.",30.30,29.2%,1.71,15.9,6.3%,17.73,2.139,-3.66,Consumer Durables,Automotive Aftermarket,26.5%,30.9%,27.9%,31.4%
CORT,Corcept Therapeutics Incorporated,1.41,-40953.7%,N/A,N/A,N/A,-2.77,-0.312,0.35,Consumer Durables,Major Pharmaceuticals,-53735.5%,-43706.1%,-35241.4%,-31132.0%
CORE,"Core-Mark Holding Company, Inc.",45.92,35.8%,2.88,15.3,6.5%,15.95,5.648,-40.53,Consumer Non-Durables,Food Distributors,8.5%,50.2%,34.3%,50.0%
COCO,"Corinthian Colleges, Inc.",2.21,28.5%,0.13,3.2,31.3%,17.54,2.252,-4.98,Consumer Services,Other Consumer Services,13.0%,-3.7%,55.1%,49.5%
CSOD,"Cornerstone OnDemand, Inc.",27.90,3.9%,90.58,4588.6,0.0%,0.31,0.006,0.25,Technology,Computer Software: Prepackaged Software,12.2%,-4.4%,N/A,N/A
CRTX,Cornerstone Therapeutics Inc.,5.19,1001.6%,0.44,4.1,24.3%,11.72,1.110,0.62,Consumer Durables,Major Pharmaceuticals,1005.6%,1937.0%,543.7%,520.2%
CNDO,"Coronado Biosciences, Inc.",4.56,-23503.6%,5.88,N/A,-0.0%,0.78,-0.000,0.78,Consumer Durables,Major Pharmaceuticals,-26722.2%,-20285.0%,N/A,N/A
CRVL,CorVel Corp.,42.19,38.5%,0.99,9.9,10.1%,42.65,4.754,-4.90,Finance,Specialty Insurers,33.3%,43.7%,43.6%,33.4%
COSI,"Cosi, Inc.",0.58,-11.4%,N/A,N/A,N/A,-1.28,-0.112,-0.16,Consumer Services,Restaurants,-11.9%,-14.5%,-11.3%,-7.8%
CSGP,"CoStar Group, Inc.",86.10,70.8%,2.49,36.9,2.7%,34.58,1.912,15.46,Miscellaneous,Business Services,22.1%,74.1%,88.0%,99.0%
COST,Costco Wholesale Corporation,104.59,12.2%,3.23,23.1,4.3%,32.41,5.500,-22.59,Consumer Services,Department/Specialty Retail Stores,12.1%,14.7%,12.9%,9.0%
CPAH,CounterPath Corporation,2.17,-172.3%,N/A,N/A,N/A,-0.84,-0.089,0.05,Miscellaneous,Business Services,-25.2%,-81.9%,-201.8%,-380.3%
CRRC,Courier Corporation,11.33,4.0%,N/A,N/A,N/A,N/A,N/A,-4.54,Consumer Services,Publishing,5.7%,1.6%,5.5%,3.3%
CVTI,"Covenant Transportation Group, Inc.",5.23,0.3%,N/A,353.7,0.3%,-22.82,0.082,-23.64,Transportation,Trucking Freight/Courier Services,-3.4%,9.3%,-2.7%,-2.1%
COWN,"Cowen Group, Inc.",2.23,N/A,N/A,N/A,N/A,N/A,N/A,-7.14,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
CRAI,"CRA International,Inc.",17.76,55.5%,0.59,6.2,16.1%,30.28,3.301,-2.73,Miscellaneous,Other Consumer Services,67.6%,23.3%,42.6%,88.4%
CBRL,"Cracker Barrel Old Country Store, Inc.",60.98,3.4%,N/A,40.5,2.5%,-14.84,2.485,-39.70,Consumer Services,Restaurants,5.7%,0.4%,5.4%,2.0%
BREW,"Craft Brew Alliance, Inc.",6.24,-6.7%,N/A,N/A,N/A,-8.44,-0.560,-2.84,Consumer Non-Durables,Beverages (Production/Distribution),-1.4%,-1.6%,-3.5%,-20.2%
CRAY,Cray Inc,14.50,-22.0%,N/A,N/A,N/A,-7.83,-0.621,-1.62,Technology,Computer Manufacturing,-29.8%,-42.3%,37.1%,-53.0%
CACC,Credit Acceptance Corporation,89.78,N/A,N/A,N/A,N/A,N/A,N/A,-48.03,Finance,Finance: Consumer Services,N/A,N/A,N/A,N/A
CREE,"Cree, Inc.",31.84,17.6%,1.28,13.5,7.4%,24.89,2.010,4.79,Technology,Semiconductors,10.4%,18.9%,27.1%,13.9%
CXPO,Crimson Exploration Inc.,2.74,4.1%,12.86,14.2,7.0%,0.21,0.601,-5.79,Energy,Oil & Gas Production,0.7%,-4.4%,-11.2%,31.5%
CROX,"Crocs, Inc.",13.22,67.4%,1.08,10.8,9.2%,12.25,1.166,0.59,Consumer Non-Durables,Shoe Manufacturing,104.7%,86.8%,28.6%,49.3%
ATX,Cross (A.T.) Company,9.80,2.8%,N/A,59.8,1.7%,-1.65,0.230,-3.95,Consumer Durables,Consumer Specialties,2.5%,4.1%,-0.9%,5.4%
CCRN,"Cross Country Healthcare, Inc.",4.09,39.5%,0.92,9.5,10.6%,4.47,0.687,-2.40,Technology,Professional Services,28.7%,39.7%,120.5%,-30.6%
CRDS,"Crossroads Systems, Inc.",3.16,N/A,N/A,N/A,N/A,N/A,N/A,0.28,Technology,Computer peripheral equipment,N/A,-8.5%,-17.7%,N/A
XTXI,"Crosstex Energy, Inc.",12.69,-2.9%,N/A,N/A,N/A,-33.13,-0.992,-23.20,Energy,Oil Refining/Marketing,-1.0%,-4.9%,-6.0%,0.5%
XTEX,"Crosstex Energy, L.P.",14.74,-2.4%,N/A,N/A,N/A,-23.58,-0.591,-17.66,Energy,Oil Refining/Marketing,-0.6%,-4.3%,-5.5%,0.8%
CRWS,"Crown Crafts, Inc.",5.90,272.5%,0.67,7.1,14.1%,8.74,0.973,-0.99,Basic Industries,Textiles,297.7%,123.9%,379.5%,289.0%
CRWN,"Crown Media Holdings, Inc.",1.83,27.1%,N/A,185.1,0.5%,-1.69,0.020,-1.89,Consumer Services,Television Services,-748.1%,566.2%,125.7%,164.8%
CRMB,"Crumbs Bake Shop, Inc.",2.95,N/A,N/A,N/A,N/A,N/A,N/A,-0.20,Consumer Non-Durables,Food Chains,N/A,N/A,N/A,N/A
CSGS,"CSG Systems International, Inc.",18.91,100.3%,0.53,6.5,15.5%,35.49,4.680,-11.31,Technology,EDP Services,54.6%,81.4%,131.4%,133.9%
CSPI,CSP Inc.,5.48,-4.2%,N/A,N/A,N/A,-3.61,-0.089,-2.72,Technology,EDP Services,15.5%,-30.3%,16.6%,-18.8%
CSRE,CSR plc,22.14,17.4%,0.16,1.4,71.5%,142.30,13.969,2.61,Technology,Semiconductors,-64.4%,36.7%,29.3%,68.0%
CTCM,"CTC Media, Inc.",8.41,371.6%,0.48,4.9,20.3%,17.53,1.795,-0.42,Consumer Services,Broadcasting,249.8%,448.4%,366.6%,421.4%
CTIB,CTI Industries Corporation,5.17,-3.3%,N/A,N/A,N/A,-10.20,-0.354,-6.66,Basic Industries,Specialty Chemicals,-6.7%,1.1%,0.3%,-7.8%
CTRP,"Ctrip.com International, Ltd.",19.51,242.3%,0.73,7.0,14.3%,26.78,2.421,2.57,Miscellaneous,Business Services,246.4%,246.9%,256.6%,219.4%
CBST,"Cubist Pharmaceuticals, Inc.",41.33,146.7%,0.86,8.7,11.5%,47.97,5.139,-3.41,Consumer Durables,Major Pharmaceuticals,186.2%,200.1%,181.7%,18.9%
CUI,"CUI Global, Inc.",5.46,-84.2%,N/A,N/A,N/A,-4.07,-0.230,-1.77,Consumer Services,Advertising,17.3%,14.5%,6.5%,-375.1%
CPIX,Cumberland Pharmaceuticals Inc.,4.47,595.5%,0.45,2.1,47.7%,9.89,0.686,3.03,Consumer Durables,Major Pharmaceuticals,648.2%,222.2%,307.0%,1204.5%
CMLS,Cumulus Media Inc.,2.26,-7.5%,N/A,N/A,N/A,-24.57,-0.193,-22.64,Consumer Services,Broadcasting,-5.0%,13.4%,-6.9%,-31.5%
CRIS,"Curis, Inc.",3.17,-98.2%,175.35,N/A,N/A,0.02,-0.035,0.37,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-161.9%,-26.7%,-81.6%,-122.8%
CUTR,"Cutera, Inc.",9.60,-7.2%,2.13,N/A,N/A,4.52,-0.036,4.88,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,-95.6%,-157.1%,158.2%,65.8%
CVV,CVD Equipment Corporation,8.72,11.2%,2.25,31.5,3.2%,3.87,0.225,1.62,Technology,Industrial Machinery/Components,35.9%,26.7%,-28.9%,11.0%
CYAN,Cyanotech Corporation,5.30,3.4%,4.32,51.2,2.0%,1.23,0.099,0.24,Consumer Durables,Specialty Chemicals,19.9%,-1.5%,-1.3%,-3.3%
CYBX,"Cyberonics, Inc.",51.72,132.4%,1.96,20.6,4.8%,26.33,2.387,2.46,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,286.0%,157.0%,0.6%,85.8%
CYBE,CyberOptics Corporation,7.41,-10.6%,25.09,N/A,N/A,0.30,-0.178,2.08,Capital Goods,Electronic Components,74.7%,10.9%,-95.5%,-32.5%
CYBI,"Cybex International, Inc.",2.45,14.4%,1.84,12.5,8.0%,1.33,0.443,-3.09,Consumer Non-Durables,Recreational Products/Toys,9.3%,27.8%,4.0%,16.6%
CYCC,"Cyclacel Pharmaceuticals, Inc.",6.11,-196.3%,N/A,N/A,N/A,-1642.58,-1.947,-1623.10,Consumer Durables,Major Pharmaceuticals,-183.3%,-176.4%,-174.0%,-251.4%
CYMI,"Cymer, Inc.",87.87,14.8%,5.22,59.3,1.7%,16.83,1.440,2.44,Technology,Industrial Machinery/Components,40.8%,19.6%,6.7%,-8.0%
CYNO,"Cynosure, Inc.",22.08,31.4%,2.20,26.0,3.8%,10.03,0.753,2.50,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,12.5%,17.8%,-0.5%,95.7%
CY,Cypress Semiconductor Corporation,9.83,7.7%,1.98,17.3,5.8%,4.97,0.669,-1.72,Technology,Semiconductors,12.6%,13.7%,-2.4%,7.0%
CYTK,"Cytokinetics, Incorporated",0.67,-155.1%,N/A,N/A,N/A,-2.31,-0.263,0.31,Consumer Durables,Major Pharmaceuticals,-199.2%,-200.2%,23.6%,-244.6%
CYTX,Cytori Therapeutics Inc,3.99,-343.7%,N/A,N/A,N/A,-5.75,-0.567,-0.08,Health Care,Medical/Dental Instruments,-389.9%,-295.6%,-281.0%,-408.1%
CYTR,CytRx Corporation,1.98,-2438.7%,N/A,N/A,N/A,-2.71,-0.345,0.74,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-4174.6%,-4377.9%,-424.0%,-778.5%
DAEG,Daegis Inc,1.25,21.7%,N/A,31.1,3.2%,-0.89,0.101,-1.90,Technology,Computer Software: Prepackaged Software,80.9%,-47.8%,-76.5%,130.0%
DJCO,Daily Journal Corp. (S.C.),89.48,62.0%,0.79,7.0,14.3%,113.26,7.970,33.56,Consumer Services,Newspapers/Magazines,71.0%,66.4%,61.0%,49.6%
